name,proportion_male,proportion_female,gender
Marco,0.9934,0.0066,male
Marcos,0.9954,0.0046,male
Margaret,0.0029,0.9971,female
Maria,0.0074,0.9926,female
Marianne,8e-4,0.9992,female
Maribeth,0,1,female
Maricruz,0,1,female
Marie,0.0047,0.9953,female
Marilyn,0.0028,0.9972,female
Marina,0.0017,0.9983,female
Mario,0.9907,0.0093,male
Marisa,0.0014,0.9986,female
Marisha,0,1,female
Marit,0,1,female
Marita,0,1,female
Marius,1,0,male
Marjorie,0.0019,0.9981,female
Mark,0.9966,0.0034,male
Markus,1,0,male
Marlan,0.9848,0.0152,male
Marleigh,0,1,female
Marlon,0.9865,0.0135,male
Marlys,7e-4,0.9993,female
Marna,0,1,female
Marni,0.0015,0.9985,female
Marnie,0,1,female
Marta,0.0028,0.9972,female
Martha,0.0036,0.9964,female
Martin,0.9949,0.0051,male
Marvel,0.2988,0.7012,female
Mary,0.0035,0.9965,female
Mason,0.9801,0.0199,male
Matt,0.9997,3e-4,male
Matthew,0.996,0.004,male
Maud,0,1,female
Maude,0,1,female
Maureen,0.0022,0.9978,female
Mauricio,0.9995,5e-4,male
Max,0.996,0.004,male
Maximillian,1,0,male
May,0.0219,0.9781,female
McKenzie,0.0528,0.9472,female
Meagan,0.0017,0.9983,female
Meaghan,5e-4,0.9995,female
Meg,0,1,female
Megan,0.0025,0.9975,female
Meghan,0.0024,0.9976,female
Meghna,0,1,female
Megumi,0,1,female
Melanie,0.0027,0.9973,female
Melinda,0.0024,0.9976,female
Melisa,5e-4,0.9995,female
Melissa,0.0032,0.9968,female
Melodie,0,1,female
Melody,0.0021,0.9979,female
Melora,0,1,female
